REPORT_ID | CAUSE_IDENTIFIER | OPERATOR_CODE | OPERATOR_NAME | INCIDENT_ADDRESS | INCIDENT_CITY | INCIDENT_COUNTY | INCIDENT_STATE | ZIP_CODE | INCIDENT_DATE | DETECTION_TIME | ORIGIN_LEAK | ORIGIN_LEAK_OTHER |Fatalities Count|Injuries count| EMPLOYEE_FATALITIES | EMPLOYEE_INJURIES | NON_EMPLOYEE_FATALITIES | NON_EMPLOYEE_INJURIES | GAS_IGNITED | EXPLOSION_OCCURED | SECONDARY_EXPLOSIONS_FIRE | DISTANCE_SEWER_STORM_CONT | DISTANCE_SEWER_STORM_IMPA | DISTANCE_SEWER_OTHER_CONT | DISTANCE_SEWER_OTHER_IMPA | DISTANCE_WATER_CONTR | DISTANCE_WATER_IMPAIRED | LOCATION_LEAK | LOCATION_LEAK_OTHER | COVER_DEPTH | SOIL_INFORMATION | SOIL_TEMPERATURE | REPORTED_BY | REPORTED_BY_OTHER | MATERIAL_LEAKED_D | MATERIAL_LEAKED_D_OTHER | LOCATION_CORROSION | DESCRIPTION_CORROSION | CAUSE_CORROSION | CAUSE_CORROSION_OTHER | PH_SOIL | SOIL_RESISTIVITY | SOIL_TEST_YEAR | PIPE_SOIL_POTENTIAL_1 | PIPE_SOIL_POTENTIAL_2 | CAUSE_LEAK | CAUSE_LEAK_OTHER 
1710801|DAMAGE BY OUTSIDE FORCES            |12408|MICHIGAN CONSOLIDATED GAS CO                      |                                        |CHEBOYGAN                |CHEBOYGAN                |MI|49721|19810105|352|OTHER                 |ELECTRIC                 |0|0|0|0|0|0|YES|NO |NO |0|0|0|0|0|0|ABOVE GROUND          |                         |0|    |0|PUBLIC               |          |COPPER      |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|OTHER                                           |WEATHER                  
1720115|DAMAGE BY OUTSIDE FORCES            |2204|CENTRAL ILLINOIS PUBLIC SERVICE                   |                                        |RUSHVILLE                |SCHUYLER                 |IL|62681|19810105|450|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|NO |NO |NO |0|0|1|0|0|0|BELOW GROUND          |                         |36|SOIL|30|CUSTOMER             |          |STEEL       |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EQUIPMENT BY OUTSIDE PARTY            |                         
1760255|DAMAGE BY OUTSIDE FORCES            |15931|PUBLIC SERVICE COMPANY OF COLO                    |                                        |AURORA                   |ARAPAHOE                 |CO|80232|19810105|1030|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW ROAD (UNPAVED)  |                         |45|SOIL|40|OTHER                |FIRE DEPT |PLASTIC     |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EARTH MOVEMENT                        |                         
1770537|DAMAGE BY OUTSIDE FORCES            |15007|PACIFIC GAS & ELECTRIC CO                         |                                        |SAN FRANCISCO            |SAN FRANCISCO            |CA|94116|19810105|1125|OTHER                 |                         |0|0|0|0|0|0|YES|NO |YES|0|0|0|0|0|0|WITHIN BUILDING       |                         |0|    |0|OTHER                |FIRE DEPT |OTHER       |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|OTHER                                           |                         
1790675|DAMAGE BY OUTSIDE FORCES            |15007|PACIFIC GAS & ELECTRIC CO                         |                                        |NOVATO                   |MARIN                    |CA|94947|19810105|1340|OTHER                 |                         |0|0|0|0|0|0|YES|NO |NO |0|0|0|0|0|0|ABOVE GROUND          |                         |0|    |0|OTHER                |          |OTHER       |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|OTHER                                           |                         
1791164|CONSTRUCTION DEFECT/MATERIAL FAILURE|594|ARIZONA PUBLIC SERVICE CO                         |                                        |PHOENIX                  |MARICOPA                 |AZ|85017|19810105|1410|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW GROUND          |                         |29|    |0|CUSTOMER             |          |PLASTIC     |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|NO DATA                                         |                         
1750194|DAMAGE BY OUTSIDE FORCES            |18484|SOUTHERN CALIFORNIA GAS CO                        |                                        |CULVER CITY              |LOS ANGELES              |CA|90230|19810106|945|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW ROAD (PAVED)    |                         |38|SOIL|60|AGENCY CAUSING DAMAGE|          |STEEL       |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EQUIPMENT BY OUTSIDE PARTY            |                         
1800857|DAMAGE BY OUTSIDE FORCES            |18484|SOUTHERN CALIFORNIA GAS CO                        |                                        |                         |KERN                     |CA|92633|19810106|1520|OTHER                 |FIRE MELTE               |0|0|0|0|0|0|YES|NO |NO |0|0|0|0|0|0|ABOVE GROUND          |                         |0|    |0|OTHER                |FIRE DEPT |OTHER       |SOLDER JOI               |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|OTHER                                           |FIRE                     
1740335|DAMAGE BY OUTSIDE FORCES            |2652|COMMONWEALTH GAS COMPANY                          |                                        |WORCESTER                |WORCESTER                |MA|1604|19810107|900|BASE MATERIAL FRACTURE|                         |0|1|0|1|0|0|YES|NO |NO |0|0|0|0|0|0|BELOW GROUND          |                         |42|SOIL|0|AGENCY CAUSING DAMAGE|          |PLASTIC     |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EQUIPMENT BY OUTSIDE PARTY            |                         
1740628|DAMAGE BY OUTSIDE FORCES            |12408|MICHIGAN CONSOLIDATED GAS CO                      |                                        |GRAND RAPIDS             |KENT                     |MI|49506|19810107|915|BASE MATERIAL FRACTURE|                         |0|1|0|0|0|1|YES|YES|NO |0|0|6|0|0|0|BELOW GROUND          |                         |78|SOIL|60|PUBLIC               |          |PLASTIC     |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|OTHER                                           |                         
1830294|DAMAGE BY OUTSIDE FORCES            |594|ARIZONA PUBLIC SERVICE COMPANY                    |1718 EAST CAMPBELL AVENUE               |PHOENIX                  |MARICOPA                 |AZ|85016|19810107|1951|OTHER                 |BROKEN FROM PRESSURE FROM|0|0|0|0|0|0|YES|YES|NO |0|0|0|0|0|0|BELOW GROUND          |                         |25|SOIL|70|OTHER                |FIRE DEPT |PLASTIC     |                         |NO DATA   |NO DATA          |             |                         |             |       |    |             |             |OTHER                                           |BROKE BY PRESS TREE ROOTS
1840350|DAMAGE BY OUTSIDE FORCES            |12433|MICHCON                                           |2456 ELECTRIC                           |DETROIT                  |WAYNE                    |MI|48217|19810107|2230|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|YES|NO |NO |0|0|0|0|0|0|WITHIN BUILDING       |                         |0|    |   |OTHER                |FIRE DEPT.|OTHER       |SOLDER                   |NO DATA   |NO DATA          |             |                         |             |       |    |             |             |OTHER                                           |HOUSE FIRE               
1700031|DAMAGE BY OUTSIDE FORCES            |2748|CONSUMERS POWER CO                                |                                        |LAKE ORION               |OAKLAND                  |MI|48058|19810108|0|OTHER                 |OUTSIDE                  |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW ROAD (PAVED)    |                         |42|SOIL|30|CUSTOMER             |          |STEEL       |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|OTHER                                           |                         
1730103|DAMAGE BY OUTSIDE FORCES            |594|ARIZONA PUBLIC SERVICE CO                         |                                        |PHOENIX                  |MARICOPA                 |AZ|85041|19810108|740|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|YES|NO |NO |0|0|0|0|0|0|ABOVE GROUND          |                         |0|    |0|OTHER                |FIRE DEPT |OTHER       |ALUMINUM                 |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|OTHER                                           |                         
1740380|DAMAGE BY OUTSIDE FORCES            |4510|EQUITABLE GAS CO                                  |                                        |FLEMINGTON               |TAYLOR                   |WV|26347|19810108|901|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|ABOVE GROUND          |                         |0|    |0|OPERATOR PERSONNEL   |          |STEEL       |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|OTHER                                           |                         
1801447|CORROSION                           |18112|SAN DIEGO GAS AND ELECTRIC CO                     |817 ORMOND ST                           |SAN DIEGO                |SAN DIEGO                |CA|92109|19810108|1513|CORROSION             |                         |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW GROUND          |                         |0|SOIL|60|OTHER                |FIRE DEPT |STEEL       |                         |EXTERNALLY|GENERAL CORROSION|OTHER        |ELECTROLYS               |8|2300|80|1|1|NO DATA                                         |                         
1720318|DAMAGE BY OUTSIDE FORCES            |11680|LONE STAR GAS CO                                  |                                        |ABILENE                  |TAYLOR                   |TX|79605|19810109|530|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|YES|NO |NO |0|0|0|0|0|0|ABOVE GROUND          |                         |0|    |0|CUSTOMER             |          |STEEL       |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|OTHER                                           |VEHICLE                  
1770841|DAMAGE BY OUTSIDE FORCES            |15896|PROVIDENCE GAS COMPANY                            |                                        |PROVIDENCE               |PROVIDENCE               |RI|0|19810109|1140|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|YES|NO |NO |0|0|0|0|0|0|BELOW OTHER PAVED AREA|                         |0|    |0|POLICE               |          |CAST IRON   |SPLIT SLV                |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EQUIPMENT BY OUTSIDE PARTY            |                         
1790155|CONSTRUCTION DEFECT/MATERIAL FAILURE|18408|SOUTH CAROLINA ELECTRIC & GAS                     |                                        |                         |LEXINGTON                |SC|29210|19810109|1310|OTHER                 |                         |0|0|0|0|0|0|YES|NO |NO |0|0|0|0|0|0|BELOW GROUND          |                         |18|    |50|CUSTOMER             |          |STEEL       |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|NO DATA                                         |                         
1790527|DAMAGE BY OUTSIDE FORCES            |13710|NORTHERN ILLINOIS GAS CO                          |                                        |GLEN ELLYN               |DU PAGE                  |IL|60137|19810109|1332|BASE MATERIAL FRACTURE|                         |0|3|0|0|0|3|YES|YES|YES|0|0|0|0|0|0|WITHIN BUILDING       |                         |0|    |0|AGENCY CAUSING DAMAGE|          |STEEL       |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EQUIPMENT OPERATED BY OR FOR OPERATOR |                         
1821641|DAMAGE BY OUTSIDE FORCES            |2608|COLUMBIA GAS OF WEST VIRGINIA INC                 |MCCORKLE AVE                            |CHARLESTON               |KANAWHA                  |WV|25304|19810109|1915|OTHER                 |DIG-IN                   |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW ROAD (UNPAVED)  |&3                       |22|SOIL|60|AGENCY CAUSING DAMAGE|          |PLASTIC     |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EQUIPMENT BY OUTSIDE PARTY            |2
1750030|DAMAGE BY OUTSIDE FORCES            |22189|WASHINGTON NATURAL GAS CO.                        |                                        |TACOMA                   |PIERCE                   |WA|98409|19810111|940|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|YES|NO |YES|0|0|0|0|0|0|ABOVE GROUND          |                         |0|    |0|OTHER                |FIRE DEPT |STEEL       |RET/ABAND                |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|OTHER                                           |VEHICLE                  
1780855|DAMAGE BY OUTSIDE FORCES            |12552|MINNESOTA GAS COMPANY                             |                                        |EDINA                    |HENNEPIN                 |MN|55424|19810111|1225|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW ROAD (PAVED)    |                         |36|    |0|OPERATOR PERSONNEL   |          |CAST IRON   |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EQUIPMENT OPERATED BY OR FOR OPERATOR |                         
1820598|DAMAGE BY OUTSIDE FORCES            |2392|CITIZENS GAS AND COKE UTILITY                     |2222 EAST 10TH STREET                   |INDIANAPOLIS             |MARION                   |IN|46201|19810111|1752|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW ROAD (PAVED)    |                         |24|SOIL|55|AGENCY CAUSING DAMAGE|          |STEEL       |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|OTHER                                           |                         
1830701|DAMAGE BY OUTSIDE FORCES            |18112|SAN DIEGO GAS AND ELECTRIC COMPANY                |9851 MAYA LINDA RD                      |SAN DIEGO                |SAN DIEGO                |CA|92131|19810111|2028|OTHER                 |DAMAGE BY OUTSIDE FORCES |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW WALKWAY         |                         |38|SOIL|60|AGENCY CAUSING DAMAGE|          |PLASTIC     |                         |NO DATA   |NO DATA          |             |                         |             |       |    |             |             |DAMAGE BY EQUIPMENT BY OUTSIDE PARTY            |                         
1700620|OTHER                               |13730|NORTHERN INDIANA PUBLIC SERVICE CO                |                                        |GARY                     |LAKE                     |IN|46402|19810112|114|OTHER                 |OUTSIDE                  |0|1|0|0|0|1|YES|YES|YES|0|0|0|0|0|0|WITHIN BUILDING       |                         |0|    |0|OTHER                |FIRE DEPT |OTHER       |ALUMINUM                 |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|NO DATA                                         |                         
1710714|DAMAGE BY OUTSIDE FORCES            |19750|TUCSON GAS & ELECTRIC CO.                         |                                        |TUCSON                   |PIMA                     |AZ|85701|19810112|338|OTHER                 |OUTSIDE                  |0|0|0|0|0|0|NO |NO |YES|0|0|0|0|0|0|NO DATA               |                         |0|    |0|PUBLIC               |          |OTHER       |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EQUIPMENT BY OUTSIDE PARTY            |                         
1720122|DAMAGE BY OUTSIDE FORCES            |15931|PUBLIC SERVICE CO. OF COLORADO                    |                                        |NORTHGLENN               |ADAMS                    |CO|80233|19810112|453|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW ROAD (PAVED)    |                         |42|SOIL|38|AGENCY CAUSING DAMAGE|          |STEEL       |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EQUIPMENT BY OUTSIDE PARTY            |                         
1730017|CORROSION                           |18484|SOUTHERN CALIFORNIA GAS CO                        |                                        |LAWNDALE                 |LOS ANGELES              |CA|90260|19810112|730|CORROSION             |                         |0|0|0|0|0|0|YES|YES|NO |0|0|0|0|0|0|BELOW ROAD (PAVED)    |                         |34|SOIL|60|OTHER                |FIRE DEPT |STEEL       |                         |EXTERNALLY|LOCALIZED PITTING|GALVANIC     |                         |8|353|72|57|51|NO DATA                                         |                         
1740098|DAMAGE BY OUTSIDE FORCES            |2748|CONSUMERS POWER CO                                |                                        |KALAMAZOO                |KALAMAZOO                |MI|49001|19810112|845|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW ROAD (PAVED)    |                         |30|SOIL|32|PUBLIC               |          |CAST IRON   |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EARTH MOVEMENT                        |                         
1740033|CONSTRUCTION DEFECT/MATERIAL FAILURE|15952|PUBLIC SERVICE ELECTRIC AND GA                    |                                        |MIDDLESEX                |MIDDLESEX                |NJ|8846|19810112|845|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW ROAD (PAVED)    |                         |42|SOIL|45|PUBLIC               |          |CAST IRON   |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|NO DATA                                         |                         
1770206|DAMAGE BY OUTSIDE FORCES            |20010|UGI CORPORATION                                   |                                        |BETHLEHEM                |NORTHAMPTON              |PA|18015|19810112|1113|OTHER                 |                         |0|0|0|0|0|0|YES|NO |NO |0|0|0|0|0|0|BELOW ROAD (PAVED)    |                         |0|SOIL|30|OPERATOR PERSONNEL   |          |CAST IRON   |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EQUIPMENT OPERATED BY OR FOR OPERATOR |                         
1820230|CONSTRUCTION DEFECT/MATERIAL FAILURE|15952|PUBLIC SERVICE ELECTRIC AND GA                    |STATE HIGHWAY RT. 130 AT RAILROAD BRIDGE|MANSFIELD                |BURLINGTON               |NJ|8022|19810112|1715|OTHER                 |FLANGELEAK               |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW OTHER PAVED AREA|BRIDGE                   |0|    |0|POLICE               |          |OTHER       |GASKET                   |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|NO DATA                                         |                         
1700042|CORROSION                           |18532|SOUTHERN UNION GAS COMPANY                        |                                        |EL PASO                  |EL PASO                  |TX|79930|19810113|0|CORROSION             |                         |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW GROUND          |                         |24|SOIL|50|CUSTOMER             |          |STEEL       |                         |EXTERNALLY|GENERAL CORROSION|GALVANIC     |                         |8|1915|70|40|0|NO DATA                                         |                         
1720137|DAMAGE BY OUTSIDE FORCES            |2748|CONSUMERS POWER CO                                |                                        |HASTINGS                 |BARRY                    |MI|49017|19810113|455|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|YES|NO |NO |0|0|0|0|0|0|BELOW ROAD (PAVED)    |                         |39|SOIL|31|OTHER                |FIRE DEPT |CAST IRON   |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EARTH MOVEMENT                        |                         
1730167|CORROSION                           |15007|PACIFIC GAS & ELECTRIC CO                         |                                        |SAN FRANCISCO            |SAN FRANCISCO            |CA|94118|19810113|748|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|YES|NO |NO |0|0|0|0|0|0|BELOW ROAD (PAVED)    |                         |28|SOIL|55|PUBLIC               |          |STEEL       |                         |EXTERNALLY|GENERAL CORROSION|GALVANIC     |                         |0|0|0|0|0|NO DATA                                         |                         
1730568|DAMAGE BY OUTSIDE FORCES            |18484|SOUTHERN CALIFORNIA GAS CO                        |                                        |PASADENA                 |LOS ANGELES              |CA|91103|19810113|820|OTHER                 |                         |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW ROAD (PAVED)    |                         |36|ROCK|0|AGENCY CAUSING DAMAGE|          |OTHER       |NON-METAL                |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EQUIPMENT BY OUTSIDE PARTY            |                         
1740451|DAMAGE BY OUTSIDE FORCES            |22182|WASHINGTON GAS LIGHT COMPANY                      |                                        |NORBECK                  |MONTGOMERY               |MD|20853|19810113|910|BASE MATERIAL FRACTURE|                         |0|0|0|0|0|0|YES|NO |NO |0|0|0|0|0|0|BELOW GROUND          |                         |22|SOIL|65|AGENCY CAUSING DAMAGE|          |PLASTIC     |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EQUIPMENT BY OUTSIDE PARTY            |                         
1831477|OTHER                               |6190|THE GAS SERVICE COMPANY                           |3345 W. 33RD ST.SOUTH                   |WICHITA                  |SEDGWICK                 |KS|67217|19810113|2110|OTHER                 |UNKNOWN PERSON SCREWED CO|0|0|0|0|0|0|YES|NO |NO |0|0|0|0|0|0|ABOVE GROUND          |                         |0|    |   |OTHER                |FIRE DEPT |STEEL       |                         |NO DATA   |NO DATA          |             |                         |             |       |    |             |             |                                                |                         
1720659|CONSTRUCTION DEFECT/MATERIAL FAILURE|603|ARKANSAS LOUISIANA GAS CO (ARKLA)                 |                                        |JONESBORO                |CRAIGHEAD                |AR|72401|19810114|630|OTHER                 |                         |0|0|0|0|0|0|YES|NO |NO |0|0|0|0|0|0|ABOVE GROUND          |                         |0|    |0|CUSTOMER             |          |STEEL       |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|NO DATA                                         |                         
1760596|DAMAGE BY OUTSIDE FORCES            |792|ATLANTA GAS LIGHT COMPANY                         |                                        |ATHENS                   |CLARKE                   |GA|30601|19810114|1045|OTHER                 |                         |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW GROUND          |                         |30|SOIL|60|AGENCY CAUSING DAMAGE|          |CAST IRON   |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EQUIPMENT BY OUTSIDE PARTY            |                         
1791053|DAMAGE BY OUTSIDE FORCES            |18112|SAN DIEGO GAS & ELECTRIC COMPA                    |                                        |SAN DIEGO                |SAN DIEGO                |CA|92103|19810114|1400|OTHER                 |                         |0|0|0|0|0|0|NO |NO |NO |0|0|0|0|0|0|BELOW ROAD (PAVED)    |                         |30|    |60|OPERATOR PERSONNEL   |          |PLASTIC     |                         |NO DATA   |NO DATA          |NO DATA      |                         |0|0|0|0|0|DAMAGE BY EQUIPMENT OPERATED BY OR FOR OPERATOR |                         
